text,intent,tag
Shop tư vấn mình cái bình đun nước giữ nhiệt moaz bebe với,inform,O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O B-inform#brand I-inform#brand O
Shop có bình đun nước moaz ko ?,inform,O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O
Có bình đun nước cho bé ko b,inform,O B-inform#object_type I-inform#object_type I-inform#object_type O O O O
"Bạn ơi, bên bạn có bình đun nước pha sữa cho bé chuẩn nhiệt độ ko?",inform,O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O O O O O
Cậu oi bên cậu có bán bình đun nước moaz bébe mb002 Ko,inform,O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand I-inform#brand O O
Có bình đun nước ủ nóng luôn ko shop,inform,O B-inform#object_type I-inform#object_type I-inform#object_type O O O O O
c ơi e muốn mua bình đun nước pha sữa cho bé,inform,O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O
Đâu bình đun nước fatz co mu,inform,O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O
Binh dun nuoc dieu chinh dc nhiet do,inform,B-inform#object_type I-inform#object_type I-inform#object_type O O O O O
Bạn ơi mình có bình đun nước giữ ấm của FAtz không?,inform,O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O B-inform#brand O
cho m hỏi có bình đun nước giữ nhiệt của fatz ko,inform,O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O B-inform#brand O
Bạn có bình đun nước giữ 40 độ ko?,inform,O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O
B ơi có bình đun nước moatz ko b,inform,O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O
Cho e hỏi bên mình còn bình đun nước pha sữa của fatz k ạ,inform,O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O B-inform#brand O O
Shop còn bình đun nước này k,inform,O O B-inform#object_type I-inform#object_type I-inform#object_type O O
Mình muốn mua bình đun nước Moaz bebe,inform,O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand I-inform#brand
Bên mình có bình đun nước giữ nhiệt ko b,inform,O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O
Minh muon mua 2 cai ban chai,inform,O O O O O B-inform#object_type I-inform#object_type
Minh muon mua ban chai combi cho be,inform,O O O B-inform#object_type I-inform#object_type B-inform#brand O O
mình còn bàn chải chuối này k ạ,inform,O O B-inform#object_type I-inform#object_type O O O O
còn bàn chải đánh răng quả chuối ko,inform,O B-inform#object_type I-inform#object_type O O O O O
B ơi shop có còn bàn chải đánh răng chuối ko b,inform,O O O O O B-inform#object_type I-inform#object_type O O O O O
Shop b còn bàn chải đánh răng richell giai đoạn 3 k,inform,O O O B-inform#object_type I-inform#object_type O O B-inform#brand O O O O
Có bàn chải đánh răng cho bé ko ạ,inform,O B-inform#object_type I-inform#object_type O O O O O O
Còn bàn chải đánh răng chiccco ko e,inform,O B-inform#object_type I-inform#object_type O O B-inform#brand O O
E mún mua bàn chải chuối,inform,O O O B-inform#object_type I-inform#object_type O
C còn bàn chải chuối ko ah,inform,O O B-inform#object_type I-inform#object_type O O O
