text,intent,tags
mẫu này thì là của hq phải ko ạ,ask_confirm,O O O O O B-ask_confirm#origin O O O
nôi này cho bé đến 2 tuổi không,ask_confirm,B-inform#object_type O O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O
Có màu xanh lá k,inform,O B-inform#color I-inform#color I-inform#color O
Bên bạn có cọ bình sữa ko,inform,O O O B-inform#object_type I-inform#object_type O O
Bé nhà mình 5.5 tháng chưa biết ngồi thì có dùng đc k ạ?,ask_confirm,O O O B-ask_confirm#age_of_use I-ask_confirm#age_of_use O O O O O O O O O
Xe này 730 đúng k ạ,ask_confirm,B-inform#object_type O B-ask_confirm#price O O O
Chiều dày thảm là bao nhiu mm bạn,request#size,O O B-inform#object_type O O O O O
Ngoài medale ra thì còn hãng nào nhỉ,request#brand,O B-deny#brand O O O O O O
dang chat voi chatbot hay nguoi the,ask_is_bot,O O O O O O O
Máy tạo ẩm bên mình có bảo hành k bạn,request#guarantee,B-inform#object_type I-inform#object_type I-inform#object_type O O O O O O O
thảm này chất liệu j thế ạ?,request#material,B-inform#object_type O O O O O O
Ghế rung kiza đó có vẫn khuyến mại thảm k b?,request#promotion,O O B-inform#brand O O O O O B-inform#object_type O O
Vay thui ship cho minh 1 ghe rung mau hồg,inform,O O O O O O B-inform#object_type I-inform#object_type B-inform#color I-inform#color
Giá là 4tr3 hả b,ask_confirm,O O B-ask_confirm#price O O
Cái này là cau trượt à b,ask_confirm,O O O B-ask_confirm#object_type I-ask_confirm#object_type O O
Bạn ơi có ghế ô tô Joie ko?,inform,O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O
shop dùng chatbot ạ,ask_is_bot,O O O O
Màu đen mình k lấy,deny,B-deny#color I-deny#color O O O
Đệm ghế bằng j bạn,request#material,O B-inform#object_type O O O
M mua ghế ăn dặm k phải ghế rung,deny,O O B-inform#object_type I-inform#object_type I-inform#object_type O O B-deny#object_type I-deny#object_type
Có xe nào 5 năm không shop,inform,O O O B-inform#guarantee I-inform#guarantee O O
Hời ơi,greet,O O
Shop cho em hỏi ghế hơi này bn ạ,request#price,O O O O B-inform#object_type I-inform#object_type O O O
Bé nhà mình 2m chơi đc rồi nhỉ,ask_confirm,O O O B-ask_confirm#age_of_use O O O O
Ko phai 630k nhe,deny,O O B-deny#price O
